iter	Passed	Remaining
462	754	874
463	755	872
464	756	869
465	756	867
466	757	864
467	758	862
468	759	860
469	760	857
470	761	855
471	762	853
472	763	850
473	764	848
474	765	846
475	766	843
476	767	841
477	768	839
478	769	836
479	770	834
480	771	832
481	772	829
482	773	827
483	774	825
484	775	823
485	776	821
486	777	818
487	778	816
488	779	814
489	780	812
490	781	810
491	782	808
492	783	805
493	784	803
494	785	801
495	786	799
496	787	797
497	788	794
498	789	792
499	790	790
500	791	788
501	792	786
502	793	784
503	794	781
504	795	779
505	796	777
506	798	776
507	799	774
508	800	772
509	801	770
510	802	768
511	803	766
512	805	764
513	806	762
514	807	760
515	809	759
516	810	757
517	811	755
518	812	753
519	814	751
520	815	750
521	817	748
522	818	746
523	819	744
524	820	742
525	821	740
526	823	739
527	824	737
528	826	735
529	827	733
530	828	731
531	830	730
532	831	728
533	833	727
534	834	725
535	836	723
536	837	722
537	839	720
538	840	718
539	841	717
540	843	715
541	845	714
542	846	712
543	847	710
544	848	708
545	850	707
546	851	705
547	852	703
548	853	701
549	855	699
550	856	697
551	858	696
552	859	694
553	861	693
554	863	692
555	865	690
556	866	689
557	868	687
558	869	686
559	870	684
560	871	682
561	872	680
562	873	678
563	875	676
564	876	674
565	877	672
566	878	670
567	879	669
568	880	667
569	882	665
570	883	663
571	884	661
572	885	659
573	886	657
574	887	655
575	888	653
576	889	652
577	890	650
578	891	648
579	892	646
580	893	644
581	894	642
582	895	640
583	896	638
584	897	636
585	898	635
586	899	633
587	900	631
588	902	629
589	903	627
590	904	625
591	905	623
592	905	621
593	907	620
594	908	618
595	909	616
596	910	614
597	911	612
598	912	610
599	913	609
600	914	607
601	915	605
602	916	603
603	917	601
604	918	599
605	920	598
606	921	596
607	922	594
608	923	592
609	924	590
610	925	589
611	926	587
612	927	585
613	928	583
614	929	581
615	930	579
616	931	578
617	932	576
618	933	574
619	934	572
620	935	570
621	936	569
622	937	567
623	938	565
624	939	563
625	940	561
626	941	560
627	942	558
628	943	556
629	945	555
630	946	553
631	947	551
632	948	549
633	949	547
634	950	546
635	951	544
636	952	542
637	953	540
638	954	539
639	955	537
640	956	535
641	957	534
642	958	532
643	959	530
644	961	529
645	962	527
646	963	525
647	964	524
648	965	522
649	966	520
650	968	518
651	969	517
652	970	515
653	971	514
654	973	512
655	974	511
656	976	509
657	977	507
658	978	506
659	979	504
660	980	502
661	981	501
662	983	500
663	985	498
664	986	496
665	987	495
666	988	493
667	990	492
668	991	490
669	992	488
670	993	486
671	994	485
672	995	483
673	996	481
674	997	480
675	998	478
676	999	476
677	1000	475
678	1001	473
679	1003	472
680	1004	470
681	1005	468
682	1006	467
683	1007	465
684	1009	464
685	1010	462
686	1011	460
687	1012	459
688	1013	457
689	1015	456
690	1016	454
691	1018	453
692	1019	451
693	1020	450
694	1022	448
695	1023	446
696	1024	445
697	1025	443
698	1026	442
699	1028	440
700	1030	439
701	1031	437
702	1032	436
703	1034	434
704	1035	433
705	1036	431
706	1037	429
707	1038	428
708	1039	426
709	1040	424
710	1041	423
711	1043	421
712	1044	420
713	1045	418
714	1046	417
715	1047	415
716	1049	414
717	1050	412
718	1051	410
719	1052	409
720	1053	407
721	1054	406
722	1055	404
723	1056	402
724	1058	401
725	1059	399
726	1060	398
727	1063	397
728	1064	395
729	1066	394
730	1067	392
731	1068	391
732	1070	389
733	1073	388
734	1075	387
735	1077	386
736	1078	384
737	1079	383
738	1080	381
739	1082	380
740	1083	378
741	1084	377
742	1086	375
743	1088	374
744	1090	373
745	1091	371
746	1092	370
747	1094	368
748	1095	367
749	1097	365
750	1098	364
751	1099	362
752	1100	361
753	1101	359
754	1103	358
755	1104	356
756	1105	354
757	1106	353
758	1108	351
759	1109	350
760	1110	348
761	1111	347
762	1112	345
763	1113	344
764	1115	342
765	1116	341
766	1118	339
767	1119	338
768	1120	336
769	1121	334
770	1122	333
771	1124	331
772	1125	330
773	1126	328
774	1127	327
775	1128	325
776	1129	324
777	1130	322
778	1132	321
779	1133	319
780	1134	318
781	1135	316
782	1137	315
783	1138	313
784	1139	312
785	1140	310
786	1141	309
787	1142	307
788	1144	305
789	1145	304
790	1146	302
791	1147	301
792	1149	299
793	1150	298
794	1151	296
795	1152	295
796	1153	293
797	1155	292
798	1156	290
799	1157	289
800	1158	287
801	1159	286
802	1160	284
803	1162	283
804	1163	281
805	1164	280
806	1165	278
807	1166	277
808	1168	275
809	1169	274
810	1170	272
811	1171	271
812	1172	269
813	1174	268
814	1175	266
815	1176	265
816	1177	263
817	1178	262
818	1179	260
819	1181	259
820	1182	257
821	1183	256
822	1184	254
823	1185	253
824	1186	251
825	1187	250
826	1188	248
827	1190	247
828	1191	245
829	1192	244
830	1193	242
831	1194	241
832	1196	239
833	1197	238
834	1198	236
835	1199	235
836	1200	233
837	1201	232
838	1203	230
839	1204	229
840	1205	227
841	1206	226
842	1207	224
843	1209	223
844	1210	221
845	1211	220
846	1212	219
847	1213	217
848	1214	216
849	1215	214
850	1216	213
851	1217	211
852	1219	210
853	1220	208
854	1221	207
855	1222	205
856	1224	204
857	1225	202
858	1226	201
859	1227	199
860	1228	198
861	1229	196
862	1230	195
863	1231	193
864	1232	192
865	1233	190
866	1235	189
867	1236	188
868	1237	186
869	1238	185
870	1239	183
871	1240	182
872	1241	180
873	1242	179
874	1243	177
875	1244	176
876	1245	174
877	1246	173
878	1247	171
879	1248	170
880	1250	168
881	1251	167
882	1252	165
883	1253	164
884	1254	162
885	1255	161
886	1256	160
887	1257	158
888	1258	157
889	1259	155
890	1260	154
891	1261	152
892	1262	151
893	1263	149
894	1264	148
895	1265	146
896	1266	145
897	1268	144
898	1271	142
899	1272	141
900	1273	139
901	1274	138
902	1275	136
903	1276	135
904	1277	134
905	1278	132
906	1279	131
907	1280	129
908	1281	128
909	1282	126
910	1283	125
911	1284	123
912	1285	122
913	1286	121
914	1287	119
915	1288	118
916	1289	116
917	1290	115
918	1291	113
919	1292	112
920	1293	110
921	1294	109
922	1295	108
923	1296	106
924	1297	105
925	1298	103
926	1299	102
927	1300	100
928	1301	99
929	1302	98
930	1303	96
931	1305	95
932	1306	93
933	1307	92
934	1308	90
935	1309	89
936	1310	88
937	1311	86
938	1312	85
939	1313	83
940	1314	82
941	1315	80
942	1316	79
943	1317	78
944	1318	76
945	1319	75
946	1320	73
947	1321	72
948	1322	71
949	1323	69
950	1325	68
951	1326	66
952	1327	65
953	1328	64
954	1329	62
955	1330	61
956	1331	59
957	1332	58
958	1333	56
959	1334	55
960	1335	54
961	1336	52
962	1337	51
963	1338	49
964	1339	48
965	1340	47
966	1342	45
967	1343	44
968	1344	43
969	1345	41
970	1346	40
971	1347	38
972	1348	37
973	1350	36
974	1351	34
975	1352	33
976	1353	31
977	1354	30
978	1355	29
979	1357	27
980	1358	26
981	1359	24
982	1360	23
983	1362	22
984	1363	20
985	1364	19
986	1365	17
987	1366	16
988	1367	15
989	1369	13
990	1370	12
991	1371	11
992	1372	9
993	1373	8
994	1375	6
995	1376	5
996	1377	4
997	1378	2
998	1380	1
999	1381	0
